Model Year,Uphill or Downhill,Related to Intersection,Clock-form Direction of force,Day in Week,Race,Maneuver before collision,year,Number of lanes,Body Category,Alignment of Road,Curb Weight,Age,Traffic Conrtol Functioning,weight,Pre-event Location,Lighting Condition,Climate,Traffic Condition,Traffic Flow Situation,premovement before collision,month,Alcohol Present,Surface Type,Crash Type,height,Sex,Surface Condition,Speed Limit,Distracted in Driving
2005,1,0,350,4,1,1,2009,2,0,1,1230,56,0,109,1,1,1,0,0,1,10,0,2,6,165,1,1,80,1
2007,1,3,180,4,2,1,2009,2,0,1,1630,53,0,77,1,2,1,0,0,5,11,0,2,1,168,2,1,80,1
2008,1,2,350,5,1,1,2009,2,0,1,1610,38,2,75,1,5,2,2,0,11,11,0,2,4,168,2,2,56,2
2007,1,2,260,4,1,1,2009,2,0,1,1150,20,0,48,1,5,1,0,0,11,12,0,2,4,150,2,1,72,1
2005,2,2,180,5,1,1,2009,2,1,1,1220,17,0,84,1,5,1,0,0,5,12,0,2,1,178,1,1,64,1
2008,2,2,0,5,1,1,2009,2,0,1,1120,26,0,61,1,5,1,0,0,1,12,0,2,1,163,2,1,64,2
2007,1,2,330,6,1,1,2009,2,1,1,1990,30,0,113,1,1,1,0,0,1,12,0,2,4,173,2,1,80,1
2000,1,2,280,6,1,1,2009,2,0,1,1510,16,2,77,1,1,1,2,0,1,12,0,2,4,178,1,1,80,2
2006,1,0,0,4,1,1,2009,2,0,1,1460,53,0,91,1,3,1,0,0,1,12,0,2,1,170,1,1,72,1
2007,1,0,0,2,1,3,2009,2,0,1,1670,39,0,82,1,1,1,0,0,2,12,0,2,1,170,1,2,64,1
2006,1,2,300,6,1,1,2009,2,0,1,1630,71,2,91,1,2,1,2,0,11,2,0,2,4,152,1,1,40,1
2002,1,2,90,5,1,1,2009,6,1,2,1590,50,2,122,1,3,1,1,0,11,2,0,2,4,168,1,1,64,1
2008,4,0,300,2,1,9,2009,2,0,1,1660,52,0,64,1,1,4,0,0,1,3,0,2,6,165,1,4,64,1
2006,1,2,10,7,1,8,2009,3,0,1,1200,19,2,77,1,3,1,1,0,1,5,0,2,4,173,1,1,64,1
2002,2,2,260,7,2,1,2009,2,0,2,1480,70,2,68,2,1,1,2,0,11,5,0,2,4,160,2,1,72,2
2003,1,0,350,7,1,1,2009,2,0,1,1580,23,0,86,1,1,1,0,0,1,5,0,2,1,183,1,1,56,2
2008,2,2,0,3,1,4,2009,4,0,1,2280,65,2,118,1,1,1,1,0,1,5,0,2,1,191,1,1,56,1
2004,2,2,70,5,1,1,2009,3,0,1,1410,55,2,75,1,1,1,1,0,11,6,0,2,4,178,1,1,64,1
2007,4,2,350,5,1,4,2009,3,0,1,1380,38,2,104,1,1,1,1,0,1,6,0,2,4,180,1,1,64,1
2006,1,0,10,3,1,2,2009,3,2,1,1750,62,0,64,1,1,1,0,0,1,6,0,2,1,152,1,1,72,1
2007,1,1,20,7,1,1,2009,2,0,3,1380,88,0,91,1,5,1,0,0,11,8,0,2,4,170,1,1,64,2
2006,4,2,320,4,3,1,2009,5,0,1,1290,22,2,90,1,1,1,1,0,11,8,0,2,4,178,1,1,72,1
2008,1,0,0,6,1,2,2009,2,0,1,1150,29,0,93,1,1,2,0,0,1,8,0,2,1,183,1,2,64,1
2001,2,0,170,7,1,12,2009,3,0,1,1930,39,0,102,2,1,1,0,0,5,9,0,2,1,188,1,1,72,1
2001,1,0,350,1,1,9,2009,2,0,1,1120,67,0,74,1,1,1,0,0,1,9,0,2,6,163,2,1,72,1
2004,1,2,10,2,1,1,2009,2,0,1,1510,28,2,82,1,1,1,1,0,1,10,0,2,4,165,2,1,56,1
2007,1,3,260,3,1,1,2009,2,1,1,1220,79,0,50,1,1,2,0,0,10,10,0,2,4,155,2,2,56,2
2001,1,3,340,7,1,1,2009,2,0,1,1090,81,0,59,1,1,1,0,0,11,11,0,2,4,152,2,1,72,2
2008,1,2,10,4,1,1,2009,1,0,1,1520,61,2,73,1,1,1,1,3,1,2,0,2,4,170,2,1,48,1
2005,1,2,350,4,1,1,2009,4,1,1,1740,22,2,100,1,1,1,1,0,1,3,0,2,4,173,1,1,40,1
2007,1,2,70,1,1,1,2009,2,0,1,1150,54,2,104,1,3,4,1,0,1,3,0,2,4,165,1,2,40,1
2003,1,2,350,1,1,1,2009,4,1,1,1690,53,2,82,1,1,1,1,0,1,4,0,2,4,178,1,1,56,1
2007,1,2,350,7,2,6,2009,4,0,1,1500,58,2,108,1,1,1,1,0,1,5,0,2,4,163,2,1,40,1
2002,1,2,40,6,3,1,2009,2,0,1,1480,25,0,66,1,1,1,0,0,11,5,0,2,4,163,1,1,40,1
2009,1,2,210,4,1,1,2009,4,0,1,1330,36,2,61,1,1,1,1,0,11,6,0,2,4,163,2,1,40,1
2000,1,2,270,7,1,1,2009,3,0,1,930,17,2,54,1,1,1,1,0,10,7,0,2,4,173,2,1,56,2
2008,1,2,20,3,2,1,2009,5,0,1,1860,23,2,68,1,1,1,1,0,11,7,0,2,4,157,2,1,56,1
2005,1,2,340,6,2,6,2009,7,1,1,1600,41,0,109,1,1,1,0,0,1,7,0,2,4,183,2,1,56,1
2004,1,0,0,7,2,2,2009,2,0,1,1220,44,0,79,1,1,1,0,0,2,8,0,2,1,163,2,1,56,1
2004,2,2,280,5,1,1,2009,2,0,1,1580,28,2,59,1,1,2,2,0,1,8,0,2,4,163,2,2,40,1
2007,4,2,300,5,2,1,2009,2,0,1,1570,34,2,64,1,1,1,1,0,1,8,0,2,4,168,2,1,56,1
2008,1,2,290,5,2,1,2009,1,0,1,1300,25,2,79,1,1,1,2,3,11,9,0,2,4,160,2,1,40,1
2008,1,2,30,6,1,1,2009,1,0,1,1500,24,2,75,1,1,1,2,3,1,9,0,2,4,183,1,1,40,1
2009,1,2,250,1,2,1,2009,5,0,1,1240,35,2,70,1,1,1,1,0,10,10,0,2,4,170,2,1,56,1
2003,1,2,0,2,2,6,2009,2,1,1,2010,44,0,68,2,1,1,0,0,1,10,0,2,4,157,2,1,40,1
2007,2,2,10,7,2,1,2009,2,0,1,1440,65,0,104,1,1,2,0,0,1,10,0,2,4,185,1,2,40,1
2002,1,2,70,5,2,1,2009,2,0,1,1410,29,2,68,1,1,1,1,0,1,10,0,2,4,152,2,1,48,1
2004,1,2,350,2,2,1,2009,2,0,1,1660,67,2,102,1,3,1,1,0,1,11,0,2,4,183,1,1,56,1
2002,2,2,350,5,2,6,2009,5,0,1,1380,32,2,91,1,1,1,1,0,1,12,0,2,4,170,2,1,56,1
2006,1,2,0,5,2,1,2009,2,0,1,1680,41,2,120,1,3,1,1,0,1,12,0,2,1,175,1,1,56,1
2008,4,2,10,5,1,2,2009,2,3,3,2330,26,0,79,1,3,4,0,1,14,1,0,2,4,168,1,2,56,1
2007,2,1,0,4,1,2,2009,1,0,1,1490,18,0,79,1,1,2,0,3,1,1,0,2,1,168,2,2,72,1
2008,2,2,10,5,1,1,2009,4,1,1,1520,31,0,57,1,1,1,0,0,1,1,0,2,4,163,2,4,64,1
2000,1,3,0,3,1,1,2009,2,1,1,1500,91,0,73,1,3,2,0,0,1,1,0,1,2,173,1,2,40,1
2002,1,3,0,3,1,3,2009,2,0,1,1180,23,0,54,2,3,2,0,0,10,1,0,1,2,152,2,2,40,1
2002,1,0,190,3,1,1,2009,3,0,1,1180,53,0,79,1,1,2,0,1,5,1,0,2,1,173,2,2,56,1
2006,1,2,0,4,1,9,2009,4,0,1,1570,27,0,98,2,1,4,0,0,15,1,0,2,1,173,1,3,56,1
2006,2,0,10,1,1,8,2009,2,2,1,2420,60,0,95,2,1,4,0,2,15,1,0,1,5,191,1,3,105,1
2004,4,0,0,5,1,9,2009,2,0,2,1410,42,0,84,2,1,4,0,0,14,2,0,2,2,160,2,3,40,1
2008,2,2,350,6,1,1,2009,3,0,1,1310,66,0,82,1,1,1,0,0,1,2,0,2,4,183,1,1,40,1
2001,1,2,350,4,1,7,2009,2,0,1,1390,37,0,98,2,3,2,0,0,10,2,0,2,4,178,1,2,56,1
2006,1,2,350,4,2,1,2009,2,1,2,2440,28,0,84,1,3,2,0,0,14,2,0,2,4,183,1,2,56,1
2005,1,0,190,5,1,1,2009,2,0,1,1190,21,0,59,7,3,1,0,0,8,3,0,2,5,157,2,1,40,2
2000,4,2,350,1,1,1,2009,2,3,1,1600,80,2,79,1,1,1,2,0,5,3,0,2,4,170,1,1,40,1
2006,1,3,350,4,1,3,2009,4,0,2,1220,34,0,88,1,1,1,0,0,14,3,0,2,4,157,5,1,64,1
2005,2,3,10,1,1,3,2009,4,1,3,2080,29,0,77,1,1,2,0,0,14,3,0,2,4,180,2,2,64,1
2001,2,2,0,6,1,3,2009,2,0,3,1370,17,0,70,1,1,2,0,0,14,4,0,1,1,170,2,2,56,1
2004,1,2,30,7,1,1,2009,2,1,2,2250,53,0,58,1,1,1,0,0,11,4,0,2,4,163,2,1,56,1
2007,4,2,10,6,3,1,2009,2,0,2,1220,52,0,82,1,1,1,0,0,11,4,0,2,4,168,1,1,56,1
2004,2,2,350,6,1,2,2009,2,1,3,1480,62,0,84,1,1,1,0,0,14,4,0,2,4,183,1,1,56,1
2003,1,3,40,2,1,6,2009,3,0,2,1160,30,0,91,1,1,1,0,0,14,4,0,1,4,163,2,1,48,1
2000,1,2,10,6,1,2,2009,2,0,1,1570,18,2,59,1,1,1,2,0,3,4,0,2,4,183,2,1,40,2
2003,1,2,10,3,1,1,2009,2,0,2,1130,60,2,91,1,1,1,1,0,11,4,0,2,4,157,2,1,56,1
2008,1,3,300,4,1,1,2009,2,0,1,1610,29,0,68,7,2,2,0,0,11,5,0,2,4,165,2,2,56,2
2002,2,0,0,1,1,9,2009,2,0,2,1580,17,0,59,2,1,1,0,0,14,5,0,2,2,175,2,2,56,1
2008,4,0,350,1,1,9,2009,2,1,2,1970,28,2,98,1,1,1,6,0,14,5,0,2,2,185,1,2,56,1
2000,4,0,0,6,2,3,2009,2,0,1,1680,60,0,92,1,1,1,0,2,1,5,0,2,1,170,2,1,72,1
2001,4,0,180,6,1,1,2009,2,0,1,1440,28,0,77,1,1,1,0,2,2,5,0,2,1,155,2,1,72,1
2008,1,2,10,6,1,2,2009,3,3,1,1730,46,2,88,1,1,1,1,2,1,5,0,2,4,183,1,1,72,2
2001,2,2,10,6,1,2,2009,3,0,1,1420,19,0,54,1,1,1,0,0,1,5,0,2,4,170,2,1,32,1
2005,2,3,180,5,1,1,2009,2,0,3,1810,65,0,91,1,1,1,0,0,11,6,0,1,1,191,1,1,72,1
2005,4,2,350,4,1,12,2009,2,0,3,1210,48,0,95,1,1,1,0,0,1,6,0,2,4,185,1,1,48,1
2005,1,2,290,3,1,1,2009,2,1,3,1400,18,2,50,1,1,1,1,0,14,6,0,2,4,163,2,1,40,1
2005,1,2,10,7,1,1,2009,4,0,1,1470,16,2,50,1,1,1,1,0,11,6,0,2,4,165,2,1,72,1
2004,1,0,0,5,1,9,2009,2,0,1,1210,25,0,59,1,3,1,0,0,1,7,1,2,1,170,1,1,56,1
2003,1,0,180,5,1,1,2009,2,0,1,1180,22,0,77,1,3,1,0,0,5,7,0,2,1,180,1,1,56,1
